일자,지역,연매출 3억원 이하,연매출 3억~30억원,연매출 30억원 초과,월 결제 한도
2022-11-01,인천광역시 계양구,10%,5%,5%,30만원
2022-11-01,인천광역시 남동구,10%,5%,5%,30만원
2022-11-01,인천광역시 동구,10%,5%,5%,30만원
2022-11-01,인천광역시 중구,10%,5%,5%,30만원
2022-11-01,인천광역시 미추홀구,10%,5%,5%,30만원
2022-11-01,인천광역시 부평구,10%,5%,5%,30만원
2022-11-01,인천광역시 연수구,10%,5%,5%,30만원
2022-11-01,인천광역시 옹진군,10%,5%,5%,30만원
2022-11-01,인천광역시 강화군,10%,5%,5%,30만원
2022-12-01,인천광역시 서구,10%,5%,5%,30만원
2022-12-01,인천광역시 계양구,10%,5%,5%,30만원
2022-12-01,인천광역시 남동구,10%,5%,5%,30만원
2022-12-01,인천광역시 동구,10%,5%,5%,30만원
2022-12-01,인천광역시 중구,10%,5%,5%,30만원
2022-12-01,인천광역시 미추홀구,10%,5%,5%,30만원
2022-12-01,인천광역시 부평구,10%,5%,5%,30만원
2022-12-01,인천광역시 연수구,10%,5%,5%,30만원
2022-12-01,인천광역시 옹진군,10%,5%,5%,30만원
2022-12-01,인천광역시 강화군,10%,5%,5%,30만원
2023-01-01,인천광역시 서구,10%,5%,5%,30만원
2023-01-01,인천광역시 계양구,10%,5%,5%,30만원
2023-01-01,인천광역시 남동구,10%,5%,5%,30만원
2023-01-01,인천광역시 동구,10%,5%,5%,30만원
2023-01-01,인천광역시 중구,10%,5%,5%,30만원
2023-01-01,인천광역시 미추홀구,10%,5%,5%,30만원
2023-01-01,인천광역시 부평구,10%,5%,5%,30만원
2023-01-01,인천광역시 연수구,10%,5%,5%,30만원
2023-01-01,인천광역시 옹진군,10%,5%,5%,30만원
2023-01-01,인천광역시 강화군,10%,5%,5%,30만원
2023-02-01,인천광역시 서구,10%,5%,5%,30만원
2023-02-01,인천광역시 계양구,10%,5%,5%,30만원
2023-02-01,인천광역시 남동구,10%,5%,5%,30만원
2023-02-01,인천광역시 동구,10%,5%,5%,30만원
2023-02-01,인천광역시 중구,10%,5%,5%,30만원
2023-02-01,인천광역시 미추홀구,10%,5%,5%,30만원
2023-02-01,인천광역시 부평구,10%,5%,5%,30만원
2023-02-01,인천광역시 연수구,10%,5%,5%,30만원
2023-02-01,인천광역시 옹진군,10%,5%,5%,30만원
2023-02-01,인천광역시 강화군,10%,5%,5%,30만원
2023-03-01,인천광역시 서구,10%,5%,5%,30만원
2023-03-01,인천광역시 계양구,10%,5%,5%,30만원
2023-03-01,인천광역시 남동구,10%,5%,5%,30만원
2023-03-01,인천광역시 동구,10%,5%,5%,30만원
2023-03-01,인천광역시 중구,10%,5%,5%,30만원
2023-03-01,인천광역시 미추홀구,10%,5%,5%,30만원
2023-03-01,인천광역시 부평구,10%,5%,5%,30만원
